"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"343","CHN",1991,"ASI",1.91532613729772,7.18309026853109,5.62532749110466,24.4360937812837,5.32884500902408,8.19495776023475,7.89142230120798,26.965781048303,5.66075114287764,1.9512408933595,3.78550946234446
"344","CHN",1992,"ASI",1.91520870176117,6.90806572100755,6.45381543835729,24.0854468848657,5.85547571864638,8.69221911179613,8.93660147272685,27.9132606834905,5.65356147774973,1.65650694687052,4.00965987971611
"345","CHN",1993,"ASI",1.83024847118829,6.96190237542218,6.9355037482181,19.9158653960481,5.5339232298359,7.85929514735731,9.12228056671588,29.4102302663839,7.23868644619278,1.1760784415169,4.01054871698807
"346","CHN",1994,"ASI",1.65820844373523,6.86634827235868,7.42611279118656,18.3237959458956,4.96319210963461,6.68853291154829,8.37482474577848,28.331843263926,6.24670746376802,0.989046909483717,3.84796436927803
"347","CHN",1995,"ASI",1.61200516790654,7.9661279291385,8.44921433158531,19.6624214807861,4.82822965800727,5.75512942051456,7.86137470432611,28.2282738291462,5.97181191381879,0.876019140904609,3.96939636081726
"348","CHN",1996,"ASI",1.65288080749274,8.2397154627139,8.88247353205077,19.3236321532579,4.74828200415403,5.49626679432144,7.99263224683535,27.5371942856169,5.99637627981076,0.889261587002433,4.10888360862131
"349","CHN",1997,"ASI",1.71124521828568,9.43859928726703,9.6802458903935,22.474704869631,4.64264434348252,5.75104568127969,8.93962763389752,29.6071325415236,6.91880937399189,0.978974784081007,4.43189303560402
"350","CHN",1998,"ASI",1.78916677934863,11.5042932632823,10.677745273544,30.7853121856932,4.91963687039247,6.28497579242925,10.283407034343,32.5224171120958,7.57297035703646,1.02462672847109,4.81755784989623
"351","CHN",1999,"ASI",1.86014881812997,14.7303612823536,12.1201995819153,34.1160717888973,5.0324102760644,6.94709842881885,12.1605119359375,34.1094223118631,8.27787167174601,1.1399055611201,5.27765509571374
"352","CHN",2000,"ASI",1.89425006935962,20.1167375822552,13.4897682624092,34.8252514053954,5.18956507100536,7.5313508250027,13.0393520581741,37.6860132188555,9.50009520897945,1.17674753173907,5.67317614129292
"353","CHN",2001,"ASI",1.93269996029754,21.3491866491982,14.8793745984181,40.7024434668555,5.38166590850213,8.28904182097557,14.9001042512668,40.826874241786,10.5103811671787,1.25405604860133,6.09483901789216
