"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"186","BRA",2011,"LAM",7.96069447349602,312.574907396236,29.5907387638491,190.484185140834,17.0123004679065,16.0526735201649,31.1018461209698,28.0262468673578,37.9309896404014,6.95767802950262,21.4480855139928
"217","BWA",1990,"SSA",1.65723035544457,178.533502018546,17.6707347064085,27.2705806532942,9.77038536958421,22.6523780013002,18.347486248356,20.3025462584268,13.4446329402089,5.79548745949671,14.5304982641786
"218","BWA",1991,"SSA",1.72511668365148,200.554559040672,16.6389171506975,26.4299642407837,9.84967611457778,22.7105389270408,20.8634048608784,23.6939430978454,16.2595422629876,6.73061201162815,15.3107743158826
"219","BWA",1992,"SSA",1.75745719606429,169.479038901904,22.0566729412831,28.0260766671673,12.1028446408776,19.5687694225005,22.4366063206255,24.4204746689756,16.4191384430849,7.92625681570751,15.623871607885
"220","BWA",1993,"SSA",1.88284994626647,149.698193258717,21.0879193981844,31.2227660225323,10.6340229160814,16.9328945341728,27.2178533197666,27.4141181124126,16.3077811996858,8.74665157754501,14.9139515388494
"221","BWA",1994,"SSA",1.79465299750869,179.304836659327,18.5556563160061,40.7027299834972,13.255279500167,18.7007640877832,30.8354015026494,34.4700056909729,17.0484148974109,9.97615930968068,16.7030605263802
"222","BWA",1995,"SSA",2.40772503970434,201.4885691121,19.6560476925571,41.2101148900975,15.0768713012552,20.6422652900072,34.0076761588862,36.3307526586051,17.0434469102667,11.8274212476705,18.4388871461698
"223","BWA",1996,"SSA",2.04502545022508,215.70378526164,22.3495249483982,38.6733216234161,14.7312171380294,23.0973079488816,28.838295865737,37.423106484728,16.1114681350926,13.1537786712873,19.30177888698
"224","BWA",1997,"SSA",1.99631240532684,255.066590561652,23.1876018770788,42.5039211352947,18.8723974152853,25.0548561823845,36.7607828553391,40.4705632059995,18.3864453756382,14.5652715332733,20.9430527776394
"225","BWA",1998,"SSA",1.69162067201686,234.821228386989,25.7783552566343,47.7401216174492,14.8082111423807,23.7513042872881,34.5878368683634,45.437277766986,17.8079802283626,14.3064496917962,19.4736900588626
"226","BWA",1999,"SSA",1.76457115434213,281.00605769072,21.2756200648342,62.6695931215218,14.5618235869111,25.3502265509476,32.0039004873215,41.0625382622959,18.3309289614885,14.8757823672665,20.5957095180065
"227","BWA",2000,"SSA",1.70316898367448,315.928694088794,20.6769604098417,60.6312674833717,12.6785212883889,21.9315586206299,30.5401939916243,40.3963919671426,17.2837273547603,15.8907830516691,20.7681667519174
"228","BWA",2001,"SSA",1.6786269532982,357.755601914358,21.4396954753181,63.6151135099202,11.3043091981946,20.6862232551462,31.2495294434696,42.8118553375533,17.5238871785452,16.3645495003965,20.8716803446778
"229","BWA",2002,"SSA",1.66983628583071,347.682835539672,25.2429305367981,76.152533849621,19.236755498528,23.5808675706292,34.5224820118282,49.6922315201279,19.0087592931286,19.3389039742483,22.8252318892871
"230","BWA",2003,"SSA",1.97258936152949,331.034260988411,26.0687495094291,85.9494414518801,19.0171012210921,25.9761189785197,39.6641106902407,53.199422619808,20.6146644392044,21.4597061025286,23.7099418461129
"231","BWA",2004,"SSA",1.71335424371685,318.665596376252,24.1093740639226,83.3244748162121,23.9343490994433,26.0858239270421,35.2029051705493,51.4840969705499,20.4905531866066,34.857921558802,24.5937731173832
"232","BWA",2005,"SSA",1.47037946941014,457.35639055704,26.4965277687155,65.9908048777971,27.0507762143697,23.3346795931521,42.1095170985943,51.5928110862777,23.3036354754326,30.2965229161499,27.2951933583932
"233","BWA",2006,"SSA",1.81681806779195,480.993206806363,30.714877210491,69.484664582811,35.8867112076465,27.0626508638232,49.8120955337285,47.6109234129055,23.6616295878055,35.8823508383715,30.0911856493609
"234","BWA",2007,"SSA",2.16329577452342,451.909660399809,32.3859352225061,65.1259833568817,43.8462167585085,27.4600351265412,51.9044849626212,48.8627198758239,25.8704905280086,40.2830930490135,31.4041259007889
